水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,長谷川,,,,,左岸,0,35.03107543,136.1208137,,,
,長谷川,,,,,右岸,0,35.03122035,136.1213326,,,
,長谷川,,,,,左岸,0.1,35.0302299,136.1211438,,,
,長谷川,,,,,右岸,0.1,35.03034941,136.1216722,,,
,長谷川,,,,,左岸,0.2,35.02937977,136.1213665,,,
,長谷川,,,,,右岸,0.2,35.02943733,136.12191,,,
,長谷川,,,,,左岸,0.3,35.02848385,136.121513,,,
,長谷川,,,,,右岸,0.3,35.02854642,136.1220556,,,
,長谷川,,,,,左岸,0.4,35.02757597,136.121747,,,
,長谷川,,,,,右岸,0.4,35.02769186,136.1222766,,,
,長谷川,,,,,左岸,0.5,35.02668815,136.1220994,,,
,長谷川,,,,,右岸,0.5,35.02686775,136.122602,,,
,長谷川,,,,,左岸,0.6,35.02587199,136.1226661,,,
,長谷川,,,,,右岸,0.6,35.02612363,136.1231207,,,
,長谷川,,,,,左岸,0.7,35.02511343,136.1231176,,,
,長谷川,,,,,右岸,0.7,35.02526828,136.1236322,,,
,長谷川,,,,,左岸,0.8,35.02438766,136.1230127,,,
,長谷川,,,,,右岸,0.8,35.0242331,136.1235274,,,
,長谷川,,,,,左岸,0.9,35.02359209,136.1225863,,,
,長谷川,,,,,右岸,0.9,35.02338021,136.1230699,,,
,長谷川,,,,,左岸,1,35.02255432,136.1224495,,,
,長谷川,,,,,右岸,1,35.02271601,136.122961,,,
,長谷川,,,,,左岸,1.1,35.02173882,136.122995,,,
,長谷川,,,,,右岸,1.1,35.02195506,136.1234757,,,
,長谷川,,,,,左岸,1.2,35.02119354,136.122662,,,
,長谷川,,,,,右岸,1.2,35.02089842,136.1230761,,,
