水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,雄琴川,,,,,左岸,0,35.09769684,135.9099173,,,
,雄琴川,,,,,右岸,0,35.09732303,135.9096108,,,
,雄琴川,,,,,左岸,0.1,35.09803877,135.9087507,,,
,雄琴川,,,,,右岸,0.1,35.09758804,135.9087512,,,
,雄琴川,,,,,左岸,0.2,35.09791268,135.9075669,,,
,雄琴川,,,,,右岸,0.2,35.0974931,135.9077672,,,
,雄琴川,,,,,左岸,0.3,35.09764603,135.9065407,,,
,雄琴川,,,,,右岸,0.3,35.0972154,135.9067027,,,
,雄琴川,,,,,左岸,0.4,35.09737982,135.9054928,,,
,雄琴川,,,,,右岸,0.4,35.09694919,135.9056547,,,
,雄琴川,,,,,左岸,0.5,35.09711321,135.9044444,,,
,雄琴川,,,,,右岸,0.5,35.09668286,135.9046075,,,
,雄琴川,,,,,左岸,0.6,35.09642301,135.9035313,,,
,雄琴川,,,,,右岸,0.6,35.09616398,135.9039801,,,
,雄琴川,,,,,左岸,0.7,35.09593814,135.9027922,,,
,雄琴川,,,,,右岸,0.7,35.09553587,135.9030396,,,
,雄琴川,,,,,左岸,0.8,35.09546849,135.9017844,,,
,雄琴川,,,,,右岸,0.8,35.09512656,135.9021417,,,
,雄琴川,,,,,左岸,0.9,35.09508783,135.9009758,,,
,雄琴川,,,,,右岸,0.9,35.09464515,135.9010789,,,
,雄琴川,,,,,左岸,1,35.09523897,135.9001606,,,
,雄琴川,,,,,右岸,1,35.09490108,135.8997976,,,
,雄琴川,,,,,左岸,1.1,35.0958754,135.8994338,,,
,雄琴川,,,,,右岸,1.1,35.09557663,135.8990232,,,
,雄琴川,,,,,左岸,1.2,35.09642991,135.8984293,,,
,雄琴川,,,,,右岸,1.2,35.09600658,135.898241,,,
,雄琴川,,,,,左岸,1.3,35.09652383,135.8971778,,,
,雄琴川,,,,,右岸,1.3,35.0961004,135.8973657,,,
,雄琴川,,,,,左岸,1.4,35.09598026,135.8963652,,,
,雄琴川,,,,,右岸,1.4,35.09554408,135.8965034,,,
,雄琴川,,,,,左岸,1.5,35.09617602,135.8955568,,,
,雄琴川,,,,,右岸,1.5,35.09580073,135.8952531,,,
,雄琴川,,,,,左岸,1.6,35.09625319,135.8942575,,,
,雄琴川,,,,,右岸,1.6,35.09587503,135.894556,,,
,雄琴川,,,,,左岸,1.7,35.0963048,135.8934742,,,
,雄琴川,,,,,右岸,1.7,35.09596651,135.8931118,,,
,雄琴川,,,,,左岸,1.8,35.09670124,135.8928536,,,
,雄琴川,,,,,右岸,1.8,35.0963429,135.892521,,,
,雄琴川,,,,,左岸,1.9,35.0972719,135.8919613,,,
,雄琴川,,,,,右岸,1.9,35.09685447,135.8917544,,,
,雄琴川,,,,,左岸,2,35.09752211,135.8911563,,,
,雄琴川,,,,,右岸,2,35.09711555,135.8909196,,,
,雄琴川,,,,,左岸,2.1,35.09764314,135.8899553,,,
,雄琴川,,,,,右岸,2.1,35.09721903,135.8897696,,,
,雄琴川,,,,,左岸,2.2,35.09833214,135.8894967,,,
,雄琴川,,,,,右岸,2.2,35.09797817,135.8891572,,,
,雄琴川,,,,,左岸,2.3,35.09886003,135.8885551,,,
,雄琴川,,,,,右岸,2.3,35.09846347,135.8882944,,,
,雄琴川,,,,,左岸,2.4,35.09905763,135.8879125,,,
,雄琴川,,,,,右岸,2.4,35.09913258,135.8873717,,,
,雄琴川,,,,,左岸,2.5,35.09944185,135.8872682,,,
,雄琴川,,,,,右岸,2.5,35.09950509,135.8867252,,,
,雄琴川,,,,,左岸,2.6,35.10011528,135.8867549,,,
,雄琴川,,,,,右岸,2.6,35.10022949,135.8862244,,,
,雄琴川,,,,,左岸,2.7,35.10096967,135.8862447,,,
,雄琴川,,,,,右岸,2.7,35.10051976,135.8862116,,,
,雄琴川,,,,,左岸,2.8,35.10109843,135.8852537,,,
,雄琴川,,,,,右岸,2.8,35.10067067,135.8850809,,,
,雄琴川,,,,,左岸,2.9,35.10096691,135.8840967,,,
,雄琴川,,,,,右岸,2.9,35.10051618,135.8840973,,,
,雄琴川,,,,,左岸,3,35.10125881,135.8832872,,,
,雄琴川,,,,,右岸,3,35.10080828,135.8833035,,,
,雄琴川,,,,,左岸,3.1,35.10154959,135.8826472,,,
,雄琴川,,,,,右岸,3.1,35.1012305,135.8822599,,,
,雄琴川,,,,,左岸,3.2,35.10225766,135.8818914,,,
,雄琴川,,,,,右岸,3.2,35.10181457,135.8819919,,,
,雄琴川,,,,,左岸,3.3,35.10204583,135.8811314,,,
,雄琴川,,,,,右岸,3.3,35.10171664,135.8807567,,,
,雄琴川,,,,,左岸,3.4,35.10263397,135.8802289,,,
,雄琴川,,,,,右岸,3.4,35.10224842,135.8799448,,,
,雄琴川,,,,,左岸,3.5,35.10229893,135.8791246,,,
,雄琴川,,,,,右岸,3.5,35.10185779,135.8792371,,,
