水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,高田砂川,,,,,左岸,0,35.01902432,136.0637199,,,
,高田砂川,,,,,右岸,0,35.01947184,136.0636545,,,
,高田砂川,,,,,左岸,0.1,35.01912269,136.0647968,,,
,高田砂川,,,,,右岸,0.1,35.01957214,136.0647555,,,
,高田砂川,,,,,左岸,0.2,35.01919058,136.0658895,,,
,高田砂川,,,,,右岸,0.2,35.01964003,136.0658482,,,
,高田砂川,,,,,左岸,0.3,35.01928595,136.0669838,,,
,高田砂川,,,,,右岸,0.3,35.01973475,136.0669331,,,
,高田砂川,,,,,左岸,0.4,35.01941329,136.0680429,,,
,高田砂川,,,,,右岸,0.4,35.01986403,136.0680433,,,
,高田砂川,,,,,左岸,0.5,35.01936708,136.0691031,,,
,高田砂川,,,,,右岸,0.5,35.0198145,136.0691694,,,
,高田砂川,,,,,左岸,0.6,35.01966541,136.0703039,,,
,高田砂川,,,,,右岸,0.6,35.02002056,136.0699665,,,
,高田砂川,,,,,左岸,0.7,35.02062638,136.0708898,,,
,高田砂川,,,,,右岸,0.7,35.0206267,136.0703419,,,
,高田砂川,,,,,左岸,0.8,35.02152785,136.0708906,,,
,高田砂川,,,,,右岸,0.8,35.02152817,136.0703427,,,
,高田砂川,,,,,左岸,0.9,35.02223612,136.0711287,,,
,高田砂川,,,,,右岸,0.9,35.02250495,136.0706889,,,
,高田砂川,,,,,左岸,1,35.02285899,136.0718809,,,
,高田砂川,,,,,右岸,1,35.0231601,136.0714731,,,
,高田砂川,,,,,左岸,1.1,35.0235574,136.0726062,,,
,高田砂川,,,,,右岸,1.1,35.02383122,136.072171,,,
,高田砂川,,,,,左岸,1.2,35.02431707,136.0732546,,,
,高田砂川,,,,,右岸,1.2,35.02454487,136.0727818,,,
,高田砂川,,,,,左岸,1.3,35.0251028,136.0738068,,,
,高田砂川,,,,,右岸,1.3,35.02531988,136.0733266,,,
,高田砂川,,,,,左岸,1.4,35.02590285,136.0743339,,,
,高田砂川,,,,,右岸,1.4,35.02610472,136.073844,,,
,高田砂川,,,,,左岸,1.5,35.02674768,136.0747815,,,
,高田砂川,,,,,右岸,1.5,35.02691101,136.0742708,,,
,高田砂川,,,,,左岸,1.6,35.02764666,136.0750957,,,
,高田砂川,,,,,右岸,1.6,35.02774363,136.0745606,,,
,高田砂川,,,,,左岸,1.7,35.02853008,136.0753306,,,
,高田砂川,,,,,右岸,1.7,35.02862148,136.074794,,,
,高田砂川,,,,,左岸,1.8,35.02941282,136.0755529,,,
,高田砂川,,,,,右岸,1.8,35.02950422,136.0750163,,,
