水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,鴨川（琵琶湖合流）,,,,,左岸,0,35.3028607,136.0438899,,,
,鴨川（琵琶湖合流）,,,,,右岸,0,35.30318642,136.0425167,,,
,鴨川（琵琶湖合流）,,,,,左岸,0.1,35.3037266,136.0441956,,,
,鴨川（琵琶湖合流）,,,,,右岸,0.1,35.30405233,136.0428224,,,
,鴨川（琵琶湖合流）,,,,,左岸,0.2,35.30479589,136.0443602,,,
,鴨川（琵琶湖合流）,,,,,右岸,0.2,35.30476558,136.0429311,,,
,鴨川（琵琶湖合流）,,,,,左岸,0.3,35.3057645,136.044268,,,
,鴨川（琵琶湖合流）,,,,,右岸,0.3,35.30559118,136.0428542,,,
,鴨川（琵琶湖合流）,,,,,左岸,0.4,35.30672102,136.0440009,,,
,鴨川（琵琶湖合流）,,,,,右岸,0.4,35.30635966,136.0425158,,,
,鴨川（琵琶湖合流）,,,,,左岸,0.5,35.30773007,136.0434269,,,
,鴨川（琵琶湖合流）,,,,,右岸,0.5,35.30700824,136.0423007,,,
,鴨川（琵琶湖合流）,,,,,左岸,0.6,35.30845052,136.0426827,,,
,鴨川（琵琶湖合流）,,,,,右岸,0.6,35.30766261,136.0416245,,,
,鴨川（琵琶湖合流）,,,,,左岸,0.7,35.30911859,136.0419529,,,
,鴨川（琵琶湖合流）,,,,,右岸,0.7,35.30833757,136.0408871,,,
,鴨川（琵琶湖合流）,,,,,左岸,0.8,35.30979063,136.0412199,,,
,鴨川（琵琶湖合流）,,,,,右岸,0.8,35.3090096,136.0401542,,,
,鴨川（琵琶湖合流）,,,,,左岸,0.9,35.31046266,136.040487,,,
,鴨川（琵琶湖合流）,,,,,右岸,0.9,35.30968162,136.0394212,,,
,鴨川（琵琶湖合流）,,,,,左岸,1,35.31113468,136.039754,,,
,鴨川（琵琶湖合流）,,,,,右岸,1,35.31035364,136.0386883,,,
,鴨川（琵琶湖合流）,,,,,左岸,1.1,35.3118067,136.0390211,,,
,鴨川（琵琶湖合流）,,,,,右岸,1.1,35.31102565,136.0379553,,,
,鴨川（琵琶湖合流）,,,,,左岸,1.2,35.31247871,136.0382881,,,
,鴨川（琵琶湖合流）,,,,,右岸,1.2,35.31157671,136.0370573,,,
,鴨川（琵琶湖合流）,,,,,左岸,1.3,35.31305343,136.0375871,,,
,鴨川（琵琶湖合流）,,,,,右岸,1.3,35.31214324,136.0366842,,,
,鴨川（琵琶湖合流）,,,,,左岸,1.4,35.3137658,136.0366737,,,
,鴨川（琵琶湖合流）,,,,,右岸,1.4,35.31258261,136.0358744,,,
,鴨川（琵琶湖合流）,,,,,左岸,1.5,35.31413178,136.0354116,,,
,鴨川（琵琶湖合流）,,,,,右岸,1.5,35.31310603,136.0347203,,,
,鴨川（琵琶湖合流）,,,,,左岸,1.6,35.31456765,136.034449,,,
,鴨川（琵琶湖合流）,,,,,右岸,1.6,35.31354189,136.0337577,,,
,鴨川（琵琶湖合流）,,,,,左岸,1.7,35.31500352,136.0334863,,,
,鴨川（琵琶湖合流）,,,,,右岸,1.7,35.31397775,136.032795,,,
,鴨川（琵琶湖合流）,,,,,左岸,1.8,35.31543937,136.0325236,,,
,鴨川（琵琶湖合流）,,,,,右岸,1.8,35.3144136,136.0318324,,,
,鴨川（琵琶湖合流）,,,,,左岸,1.9,35.31587522,136.0315609,,,
,鴨川（琵琶湖合流）,,,,,右岸,1.9,35.31484945,136.0308697,,,
,鴨川（琵琶湖合流）,,,,,左岸,2,35.31631106,136.0305983,,,
,鴨川（琵琶湖合流）,,,,,右岸,2,35.31528528,136.029907,,,
,鴨川（琵琶湖合流）,,,,,左岸,2.1,35.31706624,136.0298508,,,
,鴨川（琵琶湖合流）,,,,,右岸,2.1,35.31572111,136.0289443,,,
,鴨川（琵琶湖合流）,,,,,左岸,2.2,35.31761822,136.0289663,,,
,鴨川（琵琶湖合流）,,,,,右岸,2.2,35.31615693,136.0279816,,,
,鴨川（琵琶湖合流）,,,,,左岸,2.3,35.31778622,136.0276931,,,
,鴨川（琵琶湖合流）,,,,,右岸,2.3,35.3165299,136.0270795,,,
,鴨川（琵琶湖合流）,,,,,左岸,2.4,35.31786667,136.0263859,,,
,鴨川（琵琶湖合流）,,,,,右岸,2.4,35.31670752,136.026176,,,
,鴨川（琵琶湖合流）,,,,,左岸,2.5,35.31804362,136.0256002,,,
,鴨川（琵琶湖合流）,,,,,右岸,2.5,35.31678299,136.025446,,,
,鴨川（琵琶湖合流）,,,,,左岸,2.6,35.31819826,136.0240246,,,
,鴨川（琵琶湖合流）,,,,,右岸,2.6,35.31675418,136.0241371,,,
,鴨川（琵琶湖合流）,,,,,左岸,2.7,35.31782966,136.0228759,,,
,鴨川（琵琶湖合流）,,,,,右岸,2.7,35.31667509,136.0231205,,,
,鴨川（琵琶湖合流）,,,,,左岸,2.8,35.31767541,136.0217923,,,
,鴨川（琵琶湖合流）,,,,,右岸,2.8,35.31652084,136.0220369,,,
,鴨川（琵琶湖合流）,,,,,左岸,2.9,35.31763381,136.0204886,,,
,鴨川（琵琶湖合流）,,,,,右岸,2.9,35.31646195,136.0204884,,,
,鴨川（琵琶湖合流）,,,,,左岸,3,35.31765514,136.0197829,,,
,鴨川（琵琶湖合流）,,,,,右岸,3,35.31648785,136.0196569,,,
,鴨川（琵琶湖合流）,,,,,左岸,3.1,35.31782032,136.0186805,,,
,鴨川（琵琶湖合流）,,,,,右岸,3.1,35.31655648,136.0185743,,,
,鴨川（琵琶湖合流）,,,,,左岸,3.2,35.3181063,136.0177908,,,
,鴨川（琵琶湖合流）,,,,,右岸,3.2,35.31670487,136.0173683,,,
,鴨川（琵琶湖合流）,,,,,左岸,3.3,35.31841878,136.0169535,,,
,鴨川（琵琶湖合流）,,,,,右岸,3.3,35.31701015,136.0162132,,,
,鴨川（琵琶湖合流）,,,,,左岸,3.4,35.31876754,136.0160841,,,
,鴨川（琵琶湖合流）,,,,,右岸,3.4,35.31743575,136.0151552,,,
,鴨川（琵琶湖合流）,,,,,左岸,3.5,35.31931944,136.0151211,,,
,鴨川（琵琶湖合流）,,,,,右岸,3.5,35.31786221,136.0142318,,,
,鴨川（琵琶湖合流）,,,,,左岸,3.6,35.31939574,136.0135981,,,
,鴨川（琵琶湖合流）,,,,,右岸,3.6,35.31808601,136.0134948,,,
,鴨川（琵琶湖合流）,,,,,左岸,3.7,35.31919297,136.0123021,,,
,鴨川（琵琶湖合流）,,,,,右岸,3.7,35.31804899,136.0126121,,,
,鴨川（琵琶湖合流）,,,,,左岸,3.8,35.31901039,136.0111059,,,
,鴨川（琵琶湖合流）,,,,,右岸,3.8,35.31772391,136.0117058,,,
,鴨川（琵琶湖合流）,,,,,左岸,3.9,35.31879064,136.0102093,,,
,鴨川（琵琶湖合流）,,,,,右岸,3.9,35.31735839,136.0105065,,,
,鴨川（琵琶湖合流）,,,,,左岸,4,35.31833929,136.0086001,,,
,鴨川（琵琶湖合流）,,,,,右岸,4,35.31721281,136.0101236,,,
,鴨川（琵琶湖合流）,,,,,左岸,4.1,35.31722299,136.0081749,,,
,鴨川（琵琶湖合流）,,,,,右岸,4.1,35.31670024,136.0095837,,,
,鴨川（琵琶湖合流）,,,,,左岸,4.2,35.31679209,136.0077381,,,
,鴨川（琵琶湖合流）,,,,,右岸,4.2,35.31598605,136.0093768,,,
,鴨川（琵琶湖合流）,,,,,左岸,4.3,35.31624481,136.0067261,,,
,鴨川（琵琶湖合流）,,,,,右岸,4.3,35.31488451,136.008533,,,
,鴨川（琵琶湖合流）,,,,,左岸,4.4,35.3159466,136.0061573,,,
,鴨川（琵琶湖合流）,,,,,右岸,4.4,35.3140194,136.0074281,,,
,鴨川（琵琶湖合流）,,,,,左岸,4.5,35.31570582,136.0058911,,,
,鴨川（琵琶湖合流）,,,,,右岸,4.5,35.31365293,136.0066355,,,
,鴨川（琵琶湖合流）,,,,,左岸,4.6,35.31539517,136.0040117,,,
,鴨川（琵琶湖合流）,,,,,右岸,4.6,35.31322418,136.0056107,,,
,鴨川（琵琶湖合流）,,,,,左岸,4.7,35.31454457,136.0027131,,,
,鴨川（琵琶湖合流）,,,,,右岸,4.7,35.31314556,136.0038414,,,
,鴨川（琵琶湖合流）,,,,,左岸,4.8,35.31412024,136.0023302,,,
,鴨川（琵琶湖合流）,,,,,右岸,4.8,35.3128189,136.0033797,,,
,鴨川（琵琶湖合流）,,,,,左岸,4.9,35.31381953,136.002021,,,
,鴨川（琵琶湖合流）,,,,,右岸,4.9,35.31252117,136.0018409,,,
,鴨川（琵琶湖合流）,,,,,左岸,5,35.31367649,136.0007013,,,
,鴨川（琵琶湖合流）,,,,,右岸,5,35.31252354,136.000957,,,
,鴨川（琵琶湖合流）,,,,,左岸,5.1,35.31376536,135.999621,,,
,鴨川（琵琶湖合流）,,,,,右岸,5.1,35.3122562,135.999884,,,
,鴨川（琵琶湖合流）,,,,,左岸,5.2,35.31399987,135.9988456,,,
,鴨川（琵琶湖合流）,,,,,右岸,5.2,35.31221874,135.9986094,,,
,鴨川（琵琶湖合流）,,,,,左岸,5.3,35.31401984,135.9980813,,,
,鴨川（琵琶湖合流）,,,,,右岸,5.3,35.31244614,135.9973691,,,
,鴨川（琵琶湖合流）,,,,,左岸,5.4,35.3139914,135.9966721,,,
,鴨川（琵琶湖合流）,,,,,右岸,5.4,35.31267932,135.9964892,,,
,鴨川（琵琶湖合流）,,,,,左岸,5.5,35.31398811,135.9954228,,,
,鴨川（琵琶湖合流）,,,,,右岸,5.5,35.31266324,135.9955126,,,
,鴨川（琵琶湖合流）,,,,,左岸,5.6,35.31474472,135.9939123,,,
,鴨川（琵琶湖合流）,,,,,右岸,5.6,35.31250342,135.9945687,,,
,鴨川（琵琶湖合流）,,,,,左岸,5.7,35.31422413,135.9929976,,,
,鴨川（琵琶湖合流）,,,,,右岸,5.7,35.31221699,135.9936974,,,
,鴨川（琵琶湖合流）,,,,,左岸,5.8,35.31408208,135.9928967,,,
,鴨川（琵琶湖合流）,,,,,右岸,5.8,35.31228203,135.9919018,,,
,鴨川（琵琶湖合流）,,,,,左岸,5.9,35.31384123,135.991372,,,
,鴨川（琵琶湖合流）,,,,,右岸,5.9,35.31229781,135.9912009,,,
,鴨川（琵琶湖合流）,,,,,左岸,6,35.31363019,135.9896332,,,
,鴨川（琵琶湖合流）,,,,,右岸,6,35.31228335,135.9908145,,,
,鴨川（琵琶湖合流）,,,,,左岸,6.1,35.31351166,135.989323,,,
,鴨川（琵琶湖合流）,,,,,右岸,6.1,35.31194085,135.9892009,,,
,鴨川（琵琶湖合流）,,,,,左岸,6.2,35.3133964,135.9882898,,,
,鴨川（琵琶湖合流）,,,,,右岸,6.2,35.31224047,135.9880549,,,
,鴨川（琵琶湖合流）,,,,,左岸,6.3,35.31350184,135.9878301,,,
,鴨川（琵琶湖合流）,,,,,右岸,6.3,35.31243694,135.9872334,,,
,鴨川（琵琶湖合流）,,,,,左岸,6.4,35.31406277,135.9863685,,,
,鴨川（琵琶湖合流）,,,,,右岸,6.4,35.31294709,135.9859312,,,
,鴨川（琵琶湖合流）,,,,,左岸,6.5,35.31402765,135.984856,,,
,鴨川（琵琶湖合流）,,,,,右岸,6.5,35.31291598,135.9853083,,,
,鴨川（琵琶湖合流）,,,,,左岸,6.6,35.31365412,135.9840148,,,
,鴨川（琵琶湖合流）,,,,,右岸,6.6,35.31268903,135.9848257,,,
,鴨川（琵琶湖合流）,,,,,左岸,6.7,35.31340958,135.9831381,,,
,鴨川（琵琶湖合流）,,,,,右岸,6.7,35.31224116,135.9830287,,,
,鴨川（琵琶湖合流）,,,,,左岸,6.9,35.31362557,135.9823721,,,
,鴨川（琵琶湖合流）,,,,,右岸,6.9,35.31258303,135.9817193,,,
,鴨川（琵琶湖合流）,,,,,左岸,7,35.31425242,135.9810513,,,
,鴨川（琵琶湖合流）,,,,,右岸,7,35.31324637,135.9803182,,,
,鴨川（琵琶湖合流）,,,,,左岸,7.1,35.31450684,135.9803996,,,
,鴨川（琵琶湖合流）,,,,,右岸,7.1,35.31342964,135.9798367,,,
,鴨川（琵琶湖合流）,,,,,左岸,7.2,35.31474529,135.9790148,,,
,鴨川（琵琶湖合流）,,,,,右岸,7.2,35.31357519,135.979093,,,
,鴨川（琵琶湖合流）,,,,,左岸,7.3,35.31472723,135.9781028,,,
,鴨川（琵琶湖合流）,,,,,右岸,7.3,35.31355927,135.9779863,,,
,鴨川（琵琶湖合流）,,,,,左岸,7.4,35.31510481,135.9773545,,,
,鴨川（琵琶湖合流）,,,,,右岸,7.4,35.31387226,135.9765195,,,
,鴨川（琵琶湖合流）,,,,,左岸,7.5,35.31546958,135.9759943,,,
,鴨川（琵琶湖合流）,,,,,右岸,7.5,35.31404408,135.9759523,,,
,鴨川（琵琶湖合流）,,,,,左岸,7.6,35.31545286,135.9748438,,,
,鴨川（琵琶湖合流）,,,,,右岸,7.6,35.31428235,135.9749122,,,
,鴨川（琵琶湖合流）,,,,,左岸,7.7,35.31548231,135.974312,,,
,鴨川（琵琶湖合流）,,,,,右岸,7.7,35.31460019,135.9733708,,,
,鴨川（琵琶湖合流）,,,,,左岸,7.8,35.31634288,135.9740276,,,
,鴨川（琵琶湖合流）,,,,,右岸,7.8,35.31606257,135.9726394,,,
,鴨川（琵琶湖合流）,,,,,左岸,7.9,35.31703291,135.9737702,,,
,鴨川（琵琶湖合流）,,,,,右岸,7.9,35.31642973,135.9725444,,,
,鴨川（琵琶湖合流）,,,,,左岸,8,35.31771073,135.972229,,,
,鴨川（琵琶湖合流）,,,,,右岸,8,35.31653888,135.9722294,,,
,鴨川（琵琶湖合流）,,,,,左岸,8.1,35.31757252,135.9710334,,,
,鴨川（琵琶湖合流）,,,,,右岸,8.1,35.31641505,135.9712568,,,
,鴨川（琵琶湖合流）,,,,,左岸,8.2,35.31760671,135.9702859,,,
,鴨川（琵琶湖合流）,,,,,右岸,8.2,35.31649488,135.9698342,,,
,鴨川（琵琶湖合流）,,,,,左岸,8.3,35.31792524,135.9692838,,,
,鴨川（琵琶湖合流）,,,,,右岸,8.3,35.31682682,135.9687856,,,
,鴨川（琵琶湖合流）,,,,,左岸,8.4,35.31797183,135.9677608,,,
,鴨川（琵琶湖合流）,,,,,右岸,8.4,35.31685002,135.9681741,,,
,鴨川（琵琶湖合流）,,,,,左岸,8.5,35.31771122,135.9667079,,,
,鴨川（琵琶湖合流）,,,,,右岸,8.5,35.31658941,135.9671213,,,
,鴨川（琵琶湖合流）,,,,,左岸,8.6,35.31731029,135.9655337,,,
,鴨川（琵琶湖合流）,,,,,右岸,8.6,35.31630935,135.9662772,,,
,鴨川（琵琶湖合流）,,,,,左岸,8.7,35.31691686,135.9647081,,,
,鴨川（琵琶湖合流）,,,,,右岸,8.7,35.31581502,135.9651949,,,
,鴨川（琵琶湖合流）,,,,,左岸,8.8,35.31686833,135.9639189,,,
,鴨川（琵琶湖合流）,,,,,右岸,8.8,35.31569942,135.9638176,,,
,鴨川（琵琶湖合流）,,,,,左岸,8.9,35.31700627,135.9628636,,,
,鴨川（琵琶湖合流）,,,,,右岸,8.9,35.31584195,135.9627018,,,
,鴨川（琵琶湖合流）,,,,,左岸,9,35.3160164,135.9614287,,,
,鴨川（琵琶湖合流）,,,,,右岸,9,35.31581124,135.9628364,,,
,鴨川（琵琶湖合流）,,,,,左岸,6.8,35.31344575,135.9829275,,,
,鴨川（琵琶湖合流）,,,,,右岸,6.8,35.31231513,135.9825516,,,
