水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,黒橋川,,,,,左岸,0,35.14608581,136.0967606,,,
,黒橋川,,,,,右岸,0,35.14633069,136.0972213,,,
,黒橋川,,,,,左岸,0.1,35.14532901,136.0973569,,,
,黒橋川,,,,,右岸,0.1,35.14557389,136.0978176,,,
,黒橋川,,,,,左岸,0.2,35.14457221,136.0979531,,,
,黒橋川,,,,,右岸,0.2,35.14481708,136.0984138,,,
,黒橋川,,,,,左岸,0.3,35.1438154,136.0985494,,,
,黒橋川,,,,,右岸,0.3,35.14406028,136.0990101,,,
,黒橋川,,,,,左岸,0.4,35.14305869,136.0991477,,,
,黒橋川,,,,,右岸,0.4,35.14330496,136.0996072,,,
,黒橋川,,,,,左岸,0.5,35.1423037,136.0997473,,,
,黒橋川,,,,,右岸,0.5,35.14254996,136.1002069,,,
,黒橋川,,,,,左岸,0.6,35.1415487,136.1003469,,,
,黒橋川,,,,,右岸,0.6,35.14179496,136.1008065,,,
,黒橋川,,,,,左岸,0.7,35.14079369,136.1009465,,,
,黒橋川,,,,,右岸,0.7,35.14103996,136.1014061,,,
,黒橋川,,,,,左岸,0.8,35.14003869,136.1015461,,,
,黒橋川,,,,,右岸,0.8,35.14028495,136.1020057,,,
,黒橋川,,,,,左岸,0.9,35.13928368,136.1021457,,,
,黒橋川,,,,,右岸,0.9,35.13952994,136.1026053,,,
,黒橋川,,,,,左岸,1,35.1385285,136.1027463,,,
,黒橋川,,,,,右岸,1,35.13877574,136.103205,,,
,黒橋川,,,,,左岸,1.1,35.13780017,136.1031358,,,
,黒橋川,,,,,右岸,1.1,35.13786895,136.1036781,,,
,黒橋川,,,,,左岸,1.2,35.13690928,136.1033033,,,
,黒橋川,,,,,右岸,1.2,35.13697806,136.1038455,,,
,黒橋川,,,,,左岸,1.3,35.13627678,136.1034257,,,
,黒橋川,,,,,右岸,1.3,35.13636423,136.103964,,,
,黒橋川,,,,,左岸,1.4,35.13513013,136.1039012,,,
,黒橋川,,,,,右岸,1.4,35.13529572,136.1044115,,,
,黒橋川,,,,,左岸,1.5,35.13437892,136.104309,,,
,黒橋川,,,,,右岸,1.5,35.13441439,136.104856,,,
,黒橋川,,,,,左岸,1.6,35.13367758,136.1042662,,,
,黒橋川,,,,,右岸,1.6,35.13367711,136.1048148,,,
,黒橋川,,,,,左岸,1.7,35.13257605,136.1044323,,,
,黒橋川,,,,,右岸,1.7,35.13263367,136.1049764,,,
,黒橋川,,,,,左岸,1.8,35.131682,136.1045726,,,
,黒橋川,,,,,右岸,1.8,35.13173961,136.1051167,,,
,黒橋川,,,,,左岸,1.9,35.13078794,136.1047128,,,
,黒橋川,,,,,右岸,1.9,35.13084556,136.105257,,,
,黒橋川,,,,,左岸,2,35.13007269,136.104825,,,
,黒橋川,,,,,右岸,2,35.13013031,136.1053692,,,
,黒橋川,,,,,左岸,2.1,35.12901296,136.1049867,,,
,黒橋川,,,,,右岸,2.1,35.12904349,136.1055341,,,
,黒橋川,,,,,左岸,2.2,35.12834415,136.1047603,,,
,黒橋川,,,,,右岸,2.2,35.12816538,136.105264,,,
,黒橋川,,,,,左岸,2.3,35.12743389,136.1042816,,,
,黒橋川,,,,,右岸,2.3,35.12725511,136.1047852,,,
,黒橋川,,,,,左岸,2.4,35.12648406,136.1039558,,,
,黒橋川,,,,,右岸,2.4,35.12649122,136.1045043,,,
