水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,黒田川,,,,,左岸,0,35.33348454,136.3493734,,,
,黒田川,,,,,右岸,0,35.33354035,136.3488276,,,
,黒田川,,,,,左岸,0.1,35.33444172,136.3492961,,,
,黒田川,,,,,右岸,0.1,35.33436919,136.3487533,,,
,黒田川,,,,,左岸,0.2,35.33533435,136.3490071,,,
,黒田川,,,,,右岸,0.2,35.33521806,136.3484758,,,
,黒田川,,,,,左岸,0.3,35.33611731,136.3489599,,,
,黒田川,,,,,右岸,0.3,35.33621312,136.3484224,,,
,黒田川,,,,,左岸,0.4,35.33699812,136.3491937,,,
,黒田川,,,,,右岸,0.4,35.33709393,136.3486563,,,
,黒田川,,,,,左岸,0.5,35.33792189,136.3493145,,,
,黒田川,,,,,右岸,0.5,35.33796135,136.3487665,,,
,黒田川,,,,,左岸,0.6,35.33883407,136.349361,,,
,黒田川,,,,,右岸,0.6,35.33885019,136.3488113,,,
,黒田川,,,,,左岸,0.7,35.33971952,136.3494365,,,
,黒田川,,,,,右岸,0.7,35.33976191,136.3488889,,,
,黒田川,,,,,左岸,0.8,35.34056308,136.349649,,,
,黒田川,,,,,右岸,0.8,35.34068159,136.3491183,,,
,黒田川,,,,,左岸,0.9,35.34144873,136.3499207,,,
,黒田川,,,,,右岸,0.9,35.34154375,136.349383,,,
,黒田川,,,,,左岸,1,35.34232988,136.3501526,,,
,黒田川,,,,,右岸,1,35.3424249,136.3496149,,,
,黒田川,,,,,左岸,1.1,35.34322369,136.3503522,,,
,黒田川,,,,,右岸,1.1,35.34330449,136.3498111,,,
,黒田川,,,,,左岸,1.2,35.3441105,136.3505494,,,
,黒田川,,,,,右岸,1.2,35.3441913,136.3500083,,,
,黒田川,,,,,左岸,1.3,35.34505161,136.3506358,,,
,黒田川,,,,,右岸,1.3,35.34504102,136.3500859,,,
